Lifetime,Time
19520,1599597817.13
4300,1599598868.94
2000,1599599604.31
1360,1599601509.38
1800,1599601625.3
180,1599602606.63
3060,1599603236.5
1240,1599603844.4
920,1599603869.0
2920,1599605747.18
6960,1599606116.49
5360,1599606337.65
2680,1599609708.41
3020,1599610164.58
2240,1599610991.58
5920,1599611271.35
460,1599611331.2
3960,1599612275.64
3800,1599612350.11
660,1599613265.52
1260,1599613331.94
3380,1599613442.55
5380,1599613833.9
2120,1599614039.6
1920,1599614592.95
4240,1599616449.83
1300,1599616532.88
2540,1599616570.77
3400,1599617300.98
2660,1599618091.26
1680,1599618099.8
1100,1599618936.76
180,1599619278.3
140,1599619378.53
1760,1599619731.11
260,1599619893.04
3800,1599620923.25
600,1599621432.0
1980,1599623064.65
2720,1599623320.14
520,1599623377.58
60,1599623673.4
360,1599624129.27
4220,1599624159.85
240,1599624869.54
1220,1599625751.41
320,1599625879.73
2620,1599626025.97
1300,1599626405.69
280,1599628014.4
680,1599628723.83
280,1599630182.55
2340,1599630316.25
200,1599630919.96
220,1599631382.94
1000,1599632048.1
400,1599632198.08
560,1599632284.73
1340,1599632687.3
2140,1599634430.82
640,1599634466.53
920,1599635326.79
4200,1599635910.33
660,1599636806.5
620,1599637585.05
700,1599637601.22
8080,1599637620.54
3240,1599640568.53
840,1599640615.11
5540,1599642388.09
480,1599643743.67
2140,1599645501.89
620,1599645887.02
980,1599646152.06
1720,1599646784.45
1880,1599647480.05
1760,1599647529.85
2100,1599648510.65
4620,1599649084.18
3060,1599649894.05
6600,1599650751.43
140,1599651277.03
740,1599652235.73
340,1599652717.84
1480,1599652880.71
3140,1599653023.81
460,1599654570.31
2040,1599655046.37
360,1599655424.86
5520,1599656029.51
3500,1599656454.9
7400,1599656733.61
1260,1599657356.84
4580,1599657744.26
3680,1599658347.28
540,1599661210.61
1980,1599661325.57
1700,1599661360.95
3360,1599662488.48
9720,1599662748.57
140,1599664164.38
3100,1599664525.83
60,1599665346.88
540,1599665717.6
4360,1599665875.41
940,1599667318.06
1040,1599667460.51
220,1599667887.8
2160,1599669267.7
12880,1599669795.45
1980,1599670043.26
2160,1599670058.79
60,1599670471.95
260,1599670707.49
8180,1599672563.13
1340,1599675179.69
3100,1599676118.88
2540,1599678029.05
1780,1599681208.73
2560,1599682254.95
5140,1599683804.03
2000,1599684386.61
60,1599684786.15
2000,1599685334.23
60,1599687562.32
4540,1599687569.02
560,1599687814.79
3600,1599687867.76
1700,1599688502.12
1640,1599689392.87
8220,1599689809.47
1000,1599690497.95
6140,1599690867.78
1220,1599693026.7
300,1599693191.99
2200,1599693624.4
1860,1599695094.61
2380,1599695593.22
680,1599696546.55
660,1599698108.44
3000,1599698202.59
1840,1599698384.02
11180,1599699706.04
220,1599700257.75
6540,1599700926.43
300,1599702071.01
2640,1599702155.25
4240,1599702778.12
1240,1599703495.97
860,1599704050.81
820,1599705486.12
5640,1599706780.31
680,1599706980.96
280,1599707167.44
560,1599708829.4
160,1599709440.37
1280,1599710423.7
580,1599711789.09
1840,1599712485.49
2660,1599712488.29
1040,1599714605.31
3280,1599716755.67
1980,1599717516.12
5160,1599718120.26
240,1599722951.43
320,1599723805.99
520,1599724365.37
1220,1599725095.46
2360,1599725816.36
740,1599728021.47
1160,1599728444.74
400,1599728898.73
1780,1599728951.45
3040,1599729117.98
2220,1599729875.14
5780,1599730048.89
2660,1599730721.53
3040,1599730793.41
1920,1599732011.21
3660,1599732660.47
4300,1599733831.43
5320,1599736615.43
6580,1599737359.54
4120,1599737856.22
1600,1599738310.07
2740,1599738435.07
700,1599739682.83
1100,1599740751.65
2800,1599741229.1
6340,1599741675.03
3160,1599742475.28
960,1599743043.14
2480,1599743638.1
2560,1599744825.9
3540,1599745285.07
1480,1599746038.26
800,1599746188.51
2500,1599746258.23
2060,1599748562.2
3520,1599748970.63
280,1599749181.45
2220,1599749822.11
900,1599750026.64
3300,1599750345.32
2220,1599751120.84
3660,1599751478.71
1760,1599751935.8
100,1599752078.75
320,1599752236.85
4080,1599752846.09
1340,1599753273.53
520,1599753495.45
960,1599753839.56
1820,1599753872.39
7180,1599754726.16
1300,1599754820.29
2140,1599755319.52
1660,1599756526.78
200,1599757449.21
3320,1599759623.84
4220,1599759748.98
1760,1599760555.2
1580,1599760854.73
340,1599761147.36
5060,1599761735.24
300,1599762102.8
4720,1599762620.24
340,1599762903.98
720,1599763309.42
4200,1599763395.54
2120,1599763904.85
2100,1599767573.65
220,1599768566.71
5920,1599768797.75
2220,1599769731.71
1600,1599772483.3
2080,1599772962.15
2840,1599773146.99
4840,1599774010.53
1620,1599774200.39
1760,1599774914.39
140,1599775393.37
1020,1599775471.78
1120,1599775626.3
2780,1599776304.6
2180,1599776722.35
880,1599778230.54
2160,1599778458.94
260,1599778505.82
120,1599778575.65
660,1599778846.04
3960,1599779715.64
880,1599779963.52
1880,1599780093.7
1220,1599780175.05
7340,1599780368.2
4180,1599780381.09
2440,1599780648.05
2380,1599781269.5
9760,1599782216.88
1260,1599783229.42
1660,1599785087.58
3040,1599785567.66
360,1599785757.05
400,1599786524.8
340,1599787601.47
2240,1599789372.48
1460,1599789425.82
2520,1599790182.89
2340,1599790922.6
780,1599791568.66
500,1599791972.82
4580,1599792185.45
1460,1599792355.79
3060,1599792975.48
180,1599793399.53
1580,1599793473.79
5800,1599793754.65
1180,1599793976.27
1540,1599794292.21
740,1599794555.71
2300,1599794927.42
4840,1599795070.42
6700,1599796062.77
520,1599797047.68
2060,1599797886.06
2120,1599798171.83
1760,1599799443.82
1380,1599799477.15
480,1599800284.8
2400,1599801799.88
4840,1599802102.83
760,1599802235.58
780,1599803201.29
2140,1599803818.93
2400,1599804197.99
340,1599804275.75
8220,1599806158.08
2900,1599806329.67
1320,1599807032.04
480,1599808076.95
1600,1599808112.46
2080,1599808259.02
1360,1599809887.94
11060,1599810492.57
1600,1599811132.43
400,1599811767.17
80,1599812098.67
3600,1599813063.2
2060,1599813817.4
2420,1599813993.42
9780,1599814052.01
1200,1599814231.13
2180,1599814836.32
3100,1599814975.41
2020,1599815679.71
3580,1599816609.74
1600,1599816892.45
860,1599818936.11
400,1599819674.17
1720,1599821125.24
880,1599822879.55
3300,1599822900.19
1140,1599824219.74
2260,1599824751.46
1140,1599824890.82
4200,1599825327.64
480,1599826048.82
2340,1599826090.1
520,1599826871.26
4620,1599827066.08
1580,1599827348.28
340,1599827812.42
560,1599828878.29
60,1599828923.06
540,1599829403.68
1040,1599830647.37
360,1599830944.68
1820,1599831252.78
320,1599831800.51
12100,1599832360.15
1560,1599832519.12
1040,1599834036.3
1240,1599834146.49
1440,1599835723.43
800,1599836163.43
2780,1599836934.35
5140,1599837060.95
1700,1599837699.09
1180,1599838254.69
2520,1599838774.35
1800,1599839265.11
2260,1599839835.32
720,1599840516.65
420,1599843261.14
1160,1599843666.21
280,1599844528.02
1280,1599845940.69
260,1599846210.17
2780,1599847301.67
1820,1599848324.66
1260,1599850294.98
2500,1599850567.79
2520,1599852729.39
400,1599853512.27
440,1599853874.82
320,1599853954.87
1200,1599854671.15
2780,1599856601.95
2980,1599857900.68
9880,1599858505.67
2560,1599861020.42
820,1599861600.56
100,1599862802.11
400,1599863075.21
1980,1599864027.28
420,1599865529.21
820,1599866100.29
1900,1599866519.17
3180,1599869375.07
6700,1599869802.85
4240,1599870141.39
1580,1599870732.85
900,1599871074.38
2260,1599872121.33
640,1599872228.46
4960,1599872345.76
2200,1599874053.65
1360,1599875789.7
5360,1599876539.16
1060,1599876561.54
360,1599876572.21
880,1599876639.59
2640,1599876941.7
600,1599878092.82
900,1599878648.91
6540,1599878946.58
1380,1599879738.64
2360,1599880040.89
100,1599880381.38
3400,1599882355.67
1160,1599884000.6
1460,1599884499.14
300,1599884555.7
4560,1599885098.9
2380,1599885165.97
2660,1599885261.78
460,1599885297.44
440,1599886095.56
660,1599886779.76
1720,1599887375.92
8180,1599887937.23
260,1599890158.23
4660,1599891560.32
600,1599891963.15
4500,1599892594.1
360,1599894423.77
2400,1599895444.42
4460,1599897232.26
1040,1599899047.63
260,1599900502.29
140,1599902781.18
4600,1599902946.11
780,1599903343.0
900,1599904196.56
1320,1599904360.5
1380,1599905458.95
700,1599905922.2
1980,1599906031.17
560,1599906679.13
2560,1599908068.98
1260,1599908333.63
200,1599908962.8
4420,1599909254.89
100,1599909512.3
2200,1599910236.85
1120,1599911108.61
400,1599911416.35
1000,1599911637.61
820,1599911823.8
940,1599912388.58
600,1599912647.42
160,1599913774.53
640,1599914256.22
1320,1599914987.53
1020,1599915064.4
2980,1599915257.9
5360,1599915659.78
3280,1599915897.67
5300,1599915977.75
2560,1599916670.98
2520,1599917076.42
1180,1599917202.23
4880,1599917319.06
1200,1599917508.27
2540,1599917842.92
2620,1599918425.25
1620,1599918507.3
380,1599918755.47
300,1599918887.55
860,1599919595.42
200,1599920854.61
2640,1599920984.09
760,1599921546.8
700,1599921631.54
100,1599922101.65
5640,1599922692.56
480,1599923565.12
100,1599925626.92
3340,1599925733.65
2880,1599928466.74
1760,1599928762.69
220,1599929207.33
15100,1599929963.39
580,1599930139.62
4660,1599930419.71
140,1599930449.78
900,1599932518.56
660,1599932741.51
1540,1599932837.06
2220,1599933210.63
1420,1599934357.97
820,1599935009.73
2000,1599935426.41
2860,1599935532.36
140,1599936915.16
60,1599936966.29
4220,1599937805.75
860,1599938499.82
980,1599938759.09
300,1599940699.54
5520,1599941612.71
1220,1599942116.43
200,1599942235.71
2240,1599942484.63
3420,1599942885.11
6060,1599943350.45
1040,1599943402.18
380,1599943577.81
3300,1599943908.08
800,1599943945.51
420,1599945215.04
1120,1599946188.49
